local_entropy,domain_entropy,digit_ratio,special_chars,local_length,domain_length,is_trusted_domain,is_suspicious_tld,has_dot,email,label
2.7255,3.1219,0.2222,0,9,10,1,0,0,kontakt49@protonmail.com,normal
2.585,2.75,0.0,0,12,8,0,0,1,maria.garcia@t-online.de,normal
3.3736,2.1281,0.0,0,15,7,1,0,1,martin.freimuth@outlook.com,normal
2.2516,1.585,0.0,0,6,3,1,0,0,office@gmx.de,normal
2.5216,1.585,0.0,0,7,3,1,0,0,support@gmx.de,normal
3.1219,1.585,0.1,0,10,3,1,0,1,kim.jiwon1@gmx.de,normal
2.585,2.75,0.0,0,12,8,0,0,1,maria.garcia@t-online.de,normal
3.2389,1.585,0.0,0,13,3,1,0,1,sarah.schmidt@gmx.de,normal
2.5216,1.585,0.0,0,7,3,1,0,0,support@web.de,normal
3.182,1.9219,0.0,0,14,5,1,0,1,max.mustermann@yahoo.com,normal
3.1219,2.75,0.0,0,10,8,0,0,1,john.smith@t-online.de,normal
3.3736,3.1219,0.0,0,15,10,1,0,1,martin.freimuth@protonmail.com,normal
3.6169,1.585,0.1176,0,17,3,1,0,1,martin.freimuth47@gmx.de,normal
3.6645,2.1281,0.1429,0,14,7,1,0,1,julia.becker73@outlook.com,normal
3.5466,2.1281,0.0,0,13,7,1,0,1,thomas.wagner@outlook.com,normal
3.1219,1.9219,0.0,0,10,5,1,0,1,john.smith@yahoo.com,normal
2.2516,2.75,0.0,0,6,8,0,0,0,office@t-online.de,normal
3.1219,2.585,0.0,0,10,6,1,0,1,lisa.meyer@icloud.com,normal
3.4183,1.585,0.0,0,12,3,1,0,1,peter.schulz@web.de,normal
1.9219,2.8074,0.0,0,5,7,1,0,0,hello@hotmail.com,normal
2.6464,3.1219,0.0,0,10,10,1,0,1,ali.hassan@protonmail.com,normal
3.2389,2.1281,0.0,0,13,7,1,0,1,sarah.schmidt@outlook.com,normal
3.4677,1.585,0.1429,0,14,3,1,0,1,stefan.weber71@web.de,normal
2.0,2.1281,0.0,0,4,7,1,0,0,info@outlook.com,normal
1.9219,1.585,0.0,0,5,3,1,0,0,hello@web.de,normal
3.5466,2.8074,0.0,0,13,7,1,0,1,thomas.wagner@hotmail.com,normal
3.5466,1.585,0.0,0,13,3,1,0,1,thomas.wagner@gmx.de,normal
2.2516,2.75,0.0,0,6,8,0,0,0,office@t-online.de,normal
3.182,3.1219,0.0,0,14,10,1,0,1,max.mustermann@protonmail.com,normal
3.4183,2.585,0.0,0,12,6,1,0,1,julia.becker@icloud.com,normal
3.6645,2.585,0.1429,0,14,6,1,0,1,peter.schulz85@icloud.com,normal
3.182,3.1219,0.0,0,14,10,1,0,1,katharina.koch@protonmail.com,normal
2.9183,2.1281,0.0,0,12,7,1,0,1,anna.mueller@outlook.com,normal
2.9183,2.8074,0.0,0,12,7,1,0,1,anna.mueller@hotmail.com,normal
3.2389,1.585,0.0,0,13,3,1,0,1,sarah.schmidt@web.de,normal
3.1219,2.585,0.0,0,10,6,1,0,1,john.smith@icloud.com,normal
3.1219,1.585,0.0,0,10,3,1,0,1,lisa.meyer@web.de,normal
3.5466,2.75,0.0,0,13,8,0,0,1,thomas.wagner@t-online.de,normal
3.5069,2.3219,0.1333,0,15,5,1,0,1,sarah.schmidt70@gmail.com,normal
3.5466,1.585,0.0,0,13,3,1,0,1,thomas.wagner@web.de,normal
3.1219,3.1219,0.0,0,10,10,1,0,1,lisa.meyer@protonmail.com,normal
3.4183,2.3219,0.0,0,12,5,1,0,1,peter.schulz@gmail.com,normal
3.1219,2.585,0.0,0,10,6,1,0,1,lisa.meyer@icloud.com,normal
3.375,3.1219,0.0,0,16,10,1,0,1,michael.hoffmann@protonmail.com,normal
3.3927,2.75,0.0,0,13,8,0,0,1,laura.fischer@t-online.de,normal
2.2516,1.9219,0.0,0,6,5,1,0,0,office@yahoo.com,normal
3.4183,2.3219,0.0,0,12,5,1,0,1,peter.schulz@gmail.com,normal
2.0,2.3219,0.0,0,4,5,1,0,0,info@gmail.com,normal
3.4677,3.1219,0.1429,0,14,10,1,0,1,stefan.weber75@protonmail.com,normal
2.585,2.75,0.0,0,12,8,0,0,1,maria.garcia@t-online.de,normal
3.2516,2.1281,0.1667,0,12,7,1,0,1,lisa.meyer66@outlook.com,normal
3.2776,1.585,0.0909,0,11,3,1,0,1,lisa.meyer9@web.de,normal
3.3249,1.585,0.1429,0,14,3,1,0,1,nguyen.thanh73@web.de,normal
2.0,2.1281,0.0,0,4,7,1,0,0,info@outlook.com,normal
2.9477,2.75,0.0,0,9,8,0,0,1,kim.jiwon@t-online.de,normal
3.1887,1.585,0.0,0,12,3,1,0,1,stefan.weber@web.de,normal
2.2516,1.585,0.0,0,6,3,1,0,0,office@web.de,normal
3.375,1.585,0.0,0,16,3,1,0,1,michael.hoffmann@gmx.de,normal
2.6464,2.1281,0.0,0,10,7,1,0,1,ali.hassan@outlook.com,normal
3.3736,2.1281,0.0,0,15,7,1,0,1,martin.freimuth@outlook.com,normal
3.5466,2.75,0.0,0,13,8,0,0,1,thomas.wagner@t-online.de,normal
3.6144,2.1281,0.1111,0,18,7,1,0,1,michael.hoffmann45@outlook.com,normal
3.4183,1.9219,0.0,0,12,5,1,0,1,julia.becker@yahoo.com,normal
2.6464,1.585,0.0,0,10,3,1,0,1,ali.hassan@gmx.de,normal
2.2359,2.75,0.0,0,7,8,0,0,0,kontakt@t-online.de,normal
3.3736,2.75,0.0,0,15,8,0,0,1,martin.freimuth@t-online.de,normal
3.3927,2.1281,0.0,0,13,7,1,0,1,laura.fischer@outlook.com,normal
3.182,2.1281,0.0,0,14,7,1,0,1,max.mustermann@outlook.com,normal
3.4183,1.585,0.1667,0,12,3,1,0,1,john.smith37@web.de,normal
1.9219,1.585,0.0,0,5,3,1,0,0,hello@gmx.de,normal
2.585,2.3219,0.0,0,12,5,1,0,1,maria.garcia@gmail.com,normal
3.5466,1.585,0.0,0,13,3,1,0,1,thomas.wagner@gmx.de,normal
3.0931,1.9219,0.1429,0,14,5,1,0,1,anna.mueller99@yahoo.com,normal
2.5216,1.9219,0.0,0,7,5,1,0,0,support@yahoo.com,normal
2.6464,2.585,0.0,0,10,6,1,0,1,ali.hassan@icloud.com,normal
3.4183,1.9219,0.1667,0,12,5,1,0,1,john.smith10@yahoo.com,normal
3.4183,2.75,0.1667,0,12,8,0,0,1,john.smith48@t-online.de,normal
3.182,2.3219,0.0,0,14,5,1,0,1,max.mustermann@gmail.com,normal
3.3927,2.3219,0.0,0,13,5,1,0,1,laura.fischer@gmail.com,normal
3.182,1.585,0.0,0,14,3,1,0,1,katharina.koch@web.de,normal
2.75,2.585,0.25,0,8,6,1,0,0,office72@icloud.com,normal
2.2359,1.585,0.0,0,7,3,1,0,0,kontakt@web.de,normal
3.1219,1.9219,0.0,0,10,5,1,0,1,lisa.meyer@yahoo.com,normal
3.2776,2.8074,0.1818,0,11,7,1,0,1,kim.jiwon95@hotmail.com,normal
2.9477,1.585,0.0,0,9,3,1,0,1,kim.jiwon@web.de,normal
3.6144,2.1281,0.1111,0,18,7,1,0,1,michael.hoffmann90@outlook.com,normal
3.0221,3.1219,0.0,0,12,10,1,0,1,nguyen.thanh@protonmail.com,normal
3.6645,2.8074,0.1429,0,14,7,1,0,1,julia.becker59@hotmail.com,normal
3.3927,1.585,0.0,0,13,3,1,0,1,laura.fischer@web.de,normal
3.6645,2.585,0.1429,0,14,6,1,0,1,julia.becker25@icloud.com,normal
3.1887,2.1281,0.0,0,12,7,1,0,1,stefan.weber@outlook.com,normal
3.375,2.75,0.0,0,16,8,0,0,1,michael.hoffmann@t-online.de,normal
3.0221,2.75,0.0,0,12,8,0,0,1,nguyen.thanh@t-online.de,normal
3.1887,2.1281,0.0,0,12,7,1,0,1,stefan.weber@outlook.com,normal
3.6144,2.3219,0.1111,0,18,5,1,0,1,michael.hoffmann34@gmail.com,normal
3.2389,2.8074,0.0,0,13,7,1,0,1,sarah.schmidt@hotmail.com,normal
3.1887,2.75,0.0,0,12,8,0,0,1,stefan.weber@t-online.de,normal
3.2389,1.585,0.0,0,13,3,1,0,1,sarah.schmidt@web.de,normal
3.6144,2.3219,0.1111,0,18,5,1,0,1,michael.hoffmann56@gmail.com,normal
2.585,2.75,0.0,0,12,8,0,0,1,maria.garcia@t-online.de,normal
2.2516,1.585,0.0,0,6,3,1,0,0,office@web.de,normal
3.182,2.8074,0.0,0,14,7,1,0,1,katharina.koch@hotmail.com,normal
2.2359,2.1281,0.0,0,7,7,1,0,0,kontakt@outlook.com,normal
3.3927,2.585,0.0,0,13,6,1,0,1,laura.fischer@icloud.com,normal
3.1887,1.585,0.0,0,12,3,1,0,1,stefan.weber@gmx.de,normal
3.4183,2.585,0.1667,0,12,6,1,0,1,john.smith54@icloud.com,normal
2.2516,1.9219,0.0,0,6,5,1,0,0,office@yahoo.com,normal
2.2359,2.585,0.0,0,7,6,1,0,0,kontakt@icloud.com,normal
3.1219,1.585,0.0,0,10,3,1,0,1,john.smith@gmx.de,normal
3.3927,2.8074,0.0,0,13,7,1,0,1,laura.fischer@hotmail.com,normal
2.6464,1.585,0.0,0,10,3,1,0,1,ali.hassan@web.de,normal
2.585,1.9219,0.0,0,12,5,1,0,1,maria.garcia@yahoo.com,normal
2.5,2.8074,0.25,0,8,7,1,0,0,office66@hotmail.com,normal
3.5466,1.585,0.0,0,13,3,1,0,1,thomas.wagner@web.de,normal
2.2516,1.585,0.0,0,6,3,1,0,0,office@web.de,normal
3.4528,3.1219,0.125,0,16,10,1,0,1,max.mustermann32@protonmail.com,normal
2.2359,2.1281,0.0,0,7,7,1,0,0,kontakt@outlook.com,normal
2.6464,1.585,0.0,0,10,3,1,0,1,ali.hassan@web.de,normal
1.9219,3.1219,0.0,0,5,10,1,0,0,hello@protonmail.com,normal
3.0221,2.3219,0.0,0,12,5,1,0,1,nguyen.thanh@gmail.com,normal
3.2389,1.585,0.0,0,13,3,1,0,1,sarah.schmidt@web.de,normal
3.1219,2.75,0.0,0,10,8,0,0,1,lisa.meyer@t-online.de,normal
3.0221,2.1281,0.1667,0,12,7,1,0,1,ali.hassan32@outlook.com,normal
3.0221,2.75,0.1667,0,12,8,0,0,1,ali.hassan60@t-online.de,normal
3.1219,3.1219,0.0,0,10,10,1,0,1,john.smith@protonmail.com,normal
2.2359,2.75,0.0,0,7,8,0,0,0,kontakt@t-online.de,normal
2.9477,2.75,0.0,0,9,8,0,0,1,kim.jiwon@t-online.de,normal
2.6464,3.1219,0.0,0,10,10,1,0,1,ali.hassan@protonmail.com,normal
2.6464,1.585,0.0,0,10,3,1,0,1,ali.hassan@web.de,normal
2.5216,2.75,0.0,0,7,8,0,0,0,support@t-online.de,normal
3.027,1.585,0.0,0,13,3,1,0,1,pierre.martin@gmx.de,normal
3.0221,1.585,0.1667,0,12,3,1,0,1,ali.hassan37@web.de,normal
3.375,2.75,0.0,0,16,8,0,0,1,michael.hoffmann@t-online.de,normal
3.7736,2.585,0.1333,0,15,6,1,0,1,thomas.wagner30@icloud.com,normal
2.5216,2.1281,0.2857,0,7,7,1,0,0,hello28@outlook.com,normal
2.9477,2.75,0.0,0,9,8,0,0,1,kim.jiwon@t-online.de,normal
2.6464,1.585,0.0,0,10,3,1,0,1,ali.hassan@web.de,normal
2.9477,2.3219,0.0,0,9,5,1,0,1,kim.jiwon@gmail.com,normal
2.0,2.3219,0.0,0,4,5,1,0,0,info@gmail.com,normal
3.182,2.585,0.0,0,14,6,1,0,1,katharina.koch@icloud.com,normal
2.9477,2.75,0.0,0,9,8,0,0,1,kim.jiwon@t-online.de,normal
2.2359,3.1219,0.0,0,7,10,1,0,0,kontakt@protonmail.com,normal
3.4183,3.1219,0.0,0,12,10,1,0,1,julia.becker@protonmail.com,normal
3.3736,2.585,0.0,0,15,6,1,0,1,martin.freimuth@icloud.com,normal
3.1219,1.9219,0.0,0,10,5,1,0,1,lisa.meyer@yahoo.com,normal
2.2359,2.585,0.0,0,7,6,1,0,0,kontakt@icloud.com,normal
2.0,2.3219,0.0,0,4,5,1,0,0,info@gmail.com,normal
3.5466,1.9219,0.0,0,13,5,1,0,1,thomas.wagner@yahoo.com,normal
3.0221,2.585,0.1667,0,12,6,1,0,1,ali.hassan34@icloud.com,normal
3.1887,2.8074,0.0,0,12,7,1,0,1,stefan.weber@hotmail.com,normal
3.1887,2.585,0.0,0,12,6,1,0,1,stefan.weber@icloud.com,normal
3.375,2.585,0.0,0,16,6,1,0,1,michael.hoffmann@icloud.com,normal
3.375,3.1219,0.0,0,16,10,1,0,1,michael.hoffmann@protonmail.com,normal
3.3736,2.3219,0.0,0,15,5,1,0,1,martin.freimuth@gmail.com,normal
3.182,2.1281,0.0,0,14,7,1,0,1,katharina.koch@outlook.com,normal
2.75,1.585,0.125,0,8,3,1,0,0,support4@web.de,normal
3.4183,1.9219,0.0,0,12,5,1,0,1,peter.schulz@yahoo.com,normal
3.6645,2.1281,0.1429,0,14,7,1,0,1,julia.becker86@outlook.com,normal
2.0,3.1219,0.0,0,4,10,1,0,0,info@protonmail.com,normal
1.9219,2.8074,0.0,0,5,7,1,0,0,hello@hotmail.com,normal
3.1219,2.1281,0.0,0,10,7,1,0,1,lisa.meyer@outlook.com,normal
3.1219,2.1281,0.0,0,10,7,1,0,1,lisa.meyer@outlook.com,normal
2.585,2.585,0.3333,0,6,6,1,0,0,info40@icloud.com,normal
3.0221,1.585,0.0,0,12,3,1,0,1,nguyen.thanh@web.de,normal
3.5466,1.585,0.0,0,13,3,1,0,1,thomas.wagner@web.de,normal
3.2389,1.585,0.0,0,13,3,1,0,1,sarah.schmidt@gmx.de,normal
2.2516,2.1281,0.0,0,6,7,1,0,0,office@outlook.com,normal
2.0,2.8074,0.0,0,4,7,1,0,0,info@hotmail.com,normal
3.1219,2.8074,0.0,0,10,7,1,0,1,john.smith@hotmail.com,normal
3.5466,2.8074,0.0,0,13,7,1,0,1,thomas.wagner@hotmail.com,normal
3.3736,3.1219,0.0,0,15,10,1,0,1,martin.freimuth@protonmail.com,normal
3.2389,2.8074,0.0,0,13,7,1,0,1,sarah.schmidt@hotmail.com,normal
2.5216,3.1219,0.0,0,7,10,1,0,0,support@protonmail.com,normal
2.5216,2.75,0.2857,0,7,8,0,0,0,hello23@t-online.de,normal
2.5216,2.75,0.0,0,7,8,0,0,0,support@t-online.de,normal
3.027,1.585,0.0,0,13,3,1,0,1,pierre.martin@gmx.de,normal
3.1887,2.1281,0.0,0,12,7,1,0,1,stefan.weber@outlook.com,normal
3.375,1.585,0.0,0,16,3,1,0,1,michael.hoffmann@web.de,normal
2.6464,2.585,0.0,0,10,6,1,0,1,ali.hassan@icloud.com,normal
3.4677,1.9219,0.1429,0,14,5,1,0,1,stefan.weber42@yahoo.com,normal
3.027,1.585,0.0,0,13,3,1,0,1,pierre.martin@gmx.de,normal
3.1887,1.585,0.0,0,12,3,1,0,1,stefan.weber@gmx.de,normal
3.4183,2.1281,0.1667,0,12,7,1,0,1,john.smith25@outlook.com,normal
3.4183,3.1219,0.0,0,12,10,1,0,1,julia.becker@protonmail.com,normal
3.1219,3.1219,0.0,0,10,10,1,0,1,john.smith@protonmail.com,normal
2.5216,3.1219,0.0,0,7,10,1,0,0,support@protonmail.com,normal
3.6169,2.585,0.1176,0,17,6,1,0,1,martin.freimuth29@icloud.com,normal
1.9219,2.8074,0.0,0,5,7,1,0,0,hello@hotmail.com,normal
3.027,2.8074,0.0,0,13,7,1,0,1,pierre.martin@hotmail.com,normal
2.9477,2.75,0.0,0,9,8,0,0,1,kim.jiwon@t-online.de,normal
3.1887,3.1219,0.0,0,12,10,1,0,1,stefan.weber@protonmail.com,normal
3.375,1.585,0.0,0,16,3,1,0,1,michael.hoffmann@web.de,normal
3.2389,2.8074,0.0,0,13,7,1,0,1,sarah.schmidt@hotmail.com,normal
3.2389,1.9219,0.0,0,13,5,1,0,1,sarah.schmidt@yahoo.com,normal
3.4183,3.1219,0.0,0,12,10,1,0,1,peter.schulz@protonmail.com,normal
3.375,2.75,0.0,0,16,8,0,0,1,michael.hoffmann@t-online.de,normal
2.2359,2.1281,0.0,0,7,7,1,0,0,kontakt@outlook.com,normal
3.4183,2.8074,0.0,0,12,7,1,0,1,peter.schulz@hotmail.com,normal
3.1219,2.75,0.0,0,10,8,0,0,1,lisa.meyer@t-online.de,normal
3.182,2.3219,0.0,0,14,5,1,0,1,max.mustermann@gmail.com,normal
3.1219,1.9219,0.0,0,10,5,1,0,1,john.smith@yahoo.com,normal
2.5216,3.1219,0.0,0,7,10,1,0,0,support@protonmail.com,normal
3.2389,1.585,0.0,0,13,3,1,0,1,sarah.schmidt@gmx.de,normal
3.027,2.8074,0.0,0,13,7,1,0,1,pierre.martin@hotmail.com,normal
3.1219,1.585,0.0,0,10,3,1,0,1,lisa.meyer@gmx.de,normal
3.182,2.585,0.0714,0,14,6,1,0,1,pierre.martin9@icloud.com,normal
3.3232,2.3219,0.1333,0,15,5,1,0,1,pierre.martin81@gmail.com,normal
3.4528,1.585,0.125,0,16,3,1,0,1,max.mustermann73@gmx.de,normal
3.5466,2.1281,0.0,0,13,7,1,0,1,thomas.wagner@outlook.com,normal
3.1219,1.585,0.0,0,10,3,1,0,1,john.smith@web.de,normal
2.585,3.1219,0.0,0,12,10,1,0,1,maria.garcia@protonmail.com,normal
3.3927,2.585,0.0,0,13,6,1,0,1,laura.fischer@icloud.com,normal
3.3927,2.3219,0.0,0,13,5,1,0,1,laura.fischer@gmail.com,normal
2.2359,2.1281,0.0,0,7,7,1,0,0,kontakt@outlook.com,normal
3.4183,1.585,0.0,0,12,3,1,0,1,peter.schulz@gmx.de,normal
2.75,1.9219,0.25,0,8,5,1,0,0,office31@yahoo.com,normal
3.2776,2.585,0.0909,0,11,6,1,0,1,john.smith1@icloud.com,normal
2.6464,3.1219,0.0,0,10,10,1,0,1,ali.hassan@protonmail.com,normal
3.6402,1.585,0.1333,0,15,3,1,0,1,laura.fischer37@gmx.de,normal
1.9219,2.1281,0.0,0,5,7,1,0,0,hello@outlook.com,normal
2.2516,1.585,0.0,0,6,3,1,0,0,office@gmx.de,normal
2.5216,1.585,0.0,0,7,3,1,0,0,support@web.de,normal
3.2776,1.9219,0.1818,0,11,5,1,0,1,kim.jiwon29@yahoo.com,normal
3.375,2.1281,0.0,0,16,7,1,0,1,michael.hoffmann@outlook.com,normal
3.2359,1.585,0.1429,0,14,3,1,0,1,anna.mueller40@gmx.de,normal
3.0221,1.585,0.1667,0,12,3,1,0,1,ali.hassan89@gmx.de,normal
1.9219,1.585,0.0,0,5,3,1,0,0,hello@gmx.de,normal
2.585,3.1219,0.0,0,12,10,1,0,1,maria.garcia@protonmail.com,normal
3.5466,2.585,0.0,0,13,6,1,0,1,thomas.wagner@icloud.com,normal
3.1887,2.3219,0.0,0,12,5,1,0,1,stefan.weber@gmail.com,normal
3.5466,2.3219,0.0,0,13,5,1,0,1,thomas.wagner@gmail.com,normal
2.2516,2.3219,0.0,0,6,5,1,0,0,office@gmail.com,normal
3.1219,3.1219,0.0,0,10,10,1,0,1,lisa.meyer@protonmail.com,normal
3.6144,2.585,0.1111,0,18,6,1,0,1,michael.hoffmann75@icloud.com,normal
2.5216,2.1281,0.0,0,7,7,1,0,0,support@outlook.com,normal
3.027,2.8074,0.0,0,13,7,1,0,1,pierre.martin@hotmail.com,normal
3.1887,1.9219,0.0,0,12,5,1,0,1,stefan.weber@yahoo.com,normal
3.1887,3.1219,0.0,0,12,10,1,0,1,stefan.weber@protonmail.com,normal
3.3927,2.585,0.0,0,13,6,1,0,1,laura.fischer@icloud.com,normal
3.4183,2.8074,0.1667,0,12,7,1,0,1,john.smith12@hotmail.com,normal
3.375,2.585,0.0,0,16,6,1,0,1,michael.hoffmann@icloud.com,normal
2.585,2.3219,0.0,0,12,5,1,0,1,maria.garcia@gmail.com,normal
2.2516,3.1219,0.0,0,6,10,1,0,0,office@protonmail.com,normal
3.2776,2.8074,0.1818,0,11,7,1,0,1,kim.jiwon67@hotmail.com,normal
2.2359,3.1219,0.0,0,7,10,1,0,0,kontakt@protonmail.com,normal
2.9183,2.75,0.0,0,12,8,0,0,1,anna.mueller@t-online.de,normal
3.182,3.1219,0.0,0,14,10,1,0,1,max.mustermann@protonmail.com,normal
1.9219,2.3219,0.0,0,5,5,1,0,0,hello@gmail.com,normal
2.5216,1.585,0.0,0,7,3,1,0,0,support@web.de,normal
2.5216,2.3219,0.2857,0,7,5,1,0,0,hello71@gmail.com,normal
3.1219,1.585,0.0,0,10,3,1,0,1,john.smith@web.de,normal
3.2389,2.1281,0.0,0,13,7,1,0,1,sarah.schmidt@outlook.com,normal
2.5216,3.1219,0.0,0,7,10,1,0,0,support@protonmail.com,normal
1.9219,1.585,0.0,0,5,3,1,0,0,hello@gmx.de,normal
2.9477,3.1219,0.0,0,9,10,1,0,1,kim.jiwon@protonmail.com,normal
3.4183,1.9219,0.0,0,12,5,1,0,1,julia.becker@yahoo.com,normal
3.182,2.75,0.1429,0,14,8,0,0,1,nguyen.thanh77@t-online.de,normal
3.182,1.585,0.0,0,14,3,1,0,1,max.mustermann@gmx.de,normal
2.9477,2.75,0.0,0,9,8,0,0,1,kim.jiwon@t-online.de,normal
3.375,1.585,0.0,0,16,3,1,0,1,michael.hoffmann@gmx.de,normal
3.3927,3.1219,0.0,0,13,10,1,0,1,laura.fischer@protonmail.com,normal
3.182,3.1219,0.0,0,14,10,1,0,1,max.mustermann@protonmail.com,normal
3.182,2.75,0.0,0,14,8,0,0,1,katharina.koch@t-online.de,normal
3.0221,2.8074,0.0,0,12,7,1,0,1,nguyen.thanh@hotmail.com,normal
3.4183,1.585,0.0,0,12,3,1,0,1,peter.schulz@web.de,normal
2.0,2.585,0.0,0,4,6,1,0,0,info@icloud.com,normal
2.9183,3.1219,0.0,0,12,10,1,0,1,anna.mueller@protonmail.com,normal
1.9219,2.585,0.0,0,5,6,1,0,0,hello@icloud.com,normal
3.0221,1.9219,0.0,0,12,5,1,0,1,nguyen.thanh@yahoo.com,normal
3.027,1.9219,0.0,0,13,5,1,0,1,pierre.martin@yahoo.com,normal
2.585,2.8074,0.0,0,12,7,1,0,1,maria.garcia@hotmail.com,normal
3.2389,3.1219,0.0,0,13,10,1,0,1,sarah.schmidt@protonmail.com,normal
3.2389,3.1219,0.0,0,13,10,1,0,1,sarah.schmidt@protonmail.com,normal
3.3736,2.585,0.0,0,15,6,1,0,1,martin.freimuth@icloud.com,normal
2.5216,2.1281,0.0,0,7,7,1,0,0,support@outlook.com,normal
3.027,1.585,0.0,0,13,3,1,0,1,pierre.martin@gmx.de,normal
3.1887,2.585,0.0,0,12,6,1,0,1,stefan.weber@icloud.com,normal
2.9477,2.75,0.2222,0,9,8,0,0,0,support43@t-online.de,normal
3.0221,3.1219,0.0,0,12,10,1,0,1,nguyen.thanh@protonmail.com,normal
3.2776,1.585,0.0909,0,11,3,1,0,1,john.smith9@web.de,normal
2.5216,1.585,0.0,0,7,3,1,0,0,support@gmx.de,normal
3.4183,2.585,0.0,0,12,6,1,0,1,julia.becker@icloud.com,normal
3.2389,2.1281,0.0,0,13,7,1,0,1,sarah.schmidt@outlook.com,normal
3.0221,2.3219,0.1667,0,12,5,1,0,1,ali.hassan39@gmail.com,normal
2.9183,2.3219,0.0,0,12,5,1,0,1,anna.mueller@gmail.com,normal
3.3927,2.585,0.0,0,13,6,1,0,1,laura.fischer@icloud.com,normal
3.182,2.585,0.0,0,14,6,1,0,1,max.mustermann@icloud.com,normal
2.0,1.9219,0.0,0,4,5,1,0,0,info@yahoo.com,normal
3.4183,2.585,0.1667,0,12,6,1,0,1,lisa.meyer79@icloud.com,normal
2.2359,3.1219,0.0,0,7,10,1,0,0,kontakt@protonmail.com,normal
2.585,1.585,0.3333,0,6,3,1,0,0,info60@gmx.de,normal
2.6464,2.3219,0.0,0,10,5,1,0,1,ali.hassan@gmail.com,normal
2.6464,2.75,0.0,0,10,8,0,0,1,ali.hassan@t-online.de,normal
3.4183,1.585,0.1667,0,12,3,1,0,1,lisa.meyer45@gmx.de,normal
2.5216,1.585,0.0,0,7,3,1,0,0,support@gmx.de,normal
2.6464,1.585,0.0,0,10,3,1,0,1,ali.hassan@web.de,normal
3.0221,2.1281,0.0,0,12,7,1,0,1,nguyen.thanh@outlook.com,normal
3.4183,2.8074,0.0,0,12,7,1,0,1,julia.becker@hotmail.com,normal
2.0,1.585,0.0,0,4,3,1,0,0,info@gmx.de,normal
3.3736,2.585,0.0,0,15,6,1,0,1,martin.freimuth@icloud.com,normal
3.5033,2.3219,0.1111,0,18,5,1,0,1,michael.hoffmann88@gmail.com,normal
2.2359,1.585,0.0,0,7,3,1,0,0,kontakt@gmx.de,normal
3.4183,2.8074,0.0,0,12,7,1,0,1,julia.becker@hotmail.com,normal
