email,label,local_entropy,domain_entropy,digit_ratio,special_chars,local_length,domain_length,is_trusted_domain,is_suspicious_tld,has_dot,has_underscore,shortest_part,longest_part
lies.yang@example.com,normal,3.1699,2.5216,0.0,0,9,7,1,0,1,0,4,4
melissa_njeru@example.org,normal,3.3927,2.5216,0.0,0,13,7,1,0,0,1,13,13
mikhail_davis@example.de,normal,3.1808,2.5216,0.0,0,13,7,1,0,0,1,13,13
ea210a76e@e346.site,spam,2.7255,2.0,0.5556,0,9,4,0,1,0,0,9,9
jing_robert@example.com.au,normal,3.2776,2.5216,0.0,0,11,7,1,0,0,1,11,11
anastasiamulder@example.com.br,normal,3.2402,2.5216,0.0,0,15,7,1,0,0,0,15,15
isabeloliveira@example.ru,normal,3.0391,2.5216,0.0,0,14,7,1,0,0,0,14,14
adaezevargas@example.com.au,normal,2.7516,2.5216,0.0,0,12,7,1,0,0,0,12,12
eduardo_lewandowski@example.com,normal,3.5766,2.5216,0.0,0,19,7,1,0,0,1,19,19
watidemir@example.co.uk,normal,2.9477,2.5216,0.0,0,9,7,1,0,0,0,9,9
javier_castillo@example.org,normal,3.5069,2.5216,0.0,0,15,7,1,0,0,1,15,15
ngozi_toure@example.com,normal,3.2776,2.5216,0.0,0,11,7,1,0,0,1,11,11
marco_hassan@example.com.br,normal,3.0221,2.5216,0.0,0,12,7,1,0,0,1,12,12
kofischulz@test.com,normal,3.3219,1.5,0.0,0,10,4,1,0,0,0,10,10
arjun.smit2000@example.ru,normal,3.4677,2.5216,0.2857,0,14,7,1,0,1,0,5,8
david.weber@example.it,normal,3.0958,2.5216,0.0,0,11,7,1,0,1,0,5,5
jennifer_ramirez@example.fr,normal,3.1556,2.5216,0.0,0,16,7,1,0,0,1,16,16
arjun_odhiambo@example.pl,normal,3.5216,2.5216,0.0,0,14,7,1,0,0,1,14,14
rahul_wisniewski@example.com,normal,3.4528,2.5216,0.0,0,16,7,1,0,0,1,16,16
nour.salem@example.co.za,normal,3.3219,2.5216,0.0,0,10,7,1,0,1,0,4,5
valeria_chen@example.co.za,normal,3.2516,2.5216,0.0,0,12,7,1,0,0,1,12,12
dewi.sari@example.co.jp,normal,2.9477,2.5216,0.0,0,9,7,1,0,1,0,4,4
floor_schneider1994@example.pl,normal,3.8269,2.5216,0.2105,0,19,7,1,0,0,1,19,19
80mb1l6314cqe@jsszwd0w9r.site,spam,3.5466,2.9219,0.5385,0,13,10,0,1,0,0,13,13
fatou.petrov@example.org,normal,3.2516,2.5216,0.0,0,12,7,1,0,1,0,5,6
wati_mueller@example.com.au,normal,3.2516,2.5216,0.0,0,12,7,1,0,0,1,12,12
lars_visser@example.co.za,normal,2.8454,2.5216,0.0,0,11,7,1,0,0,1,11,11
hBafanAWE@q2l48c.work,spam,2.9477,2.585,0.0,0,9,6,0,1,0,0,9,9
emma.visser@test.com,normal,2.914,1.5,0.0,0,11,4,1,0,1,0,4,6
françoisnwosu@example.co.za,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,0,13,13
sigrid.coulibaly@example.it,normal,3.5778,2.5216,0.0,0,16,7,1,0,1,0,6,9
anastasia_nilsson1997@example.net,normal,3.2135,2.5216,0.1905,0,21,7,1,0,0,1,21,21
vladimirjohansson@example.it,normal,3.4992,2.5216,0.0,0,17,7,1,0,0,0,17,17
giovanniyang@example.es,normal,2.6887,2.5216,0.0,0,12,7,1,0,0,0,12,12
yuki.celik@test.com,normal,2.9219,1.5,0.0,0,10,4,1,0,1,0,4,5
vladimirgarcia@example.com.br,normal,2.9852,2.5216,0.0,0,14,7,1,0,0,0,14,14
sigridde_boer@example.com.br,normal,3.0851,2.5216,0.0,0,13,7,1,0,0,1,13,13
vladimirzielinski@example.de,normal,3.2869,2.5216,0.0,0,17,7,1,0,0,0,17,17
monika_robert@example.org,normal,3.3927,2.5216,0.0,0,13,7,1,0,0,1,13,13
carlos.smith@example.com.br,normal,3.4183,2.5216,0.0,0,12,7,1,0,1,0,5,6
zeynep.kaya@example.fr,normal,2.914,2.5216,0.0,0,11,7,1,0,1,0,4,6
nf8f3gr94sz2kuuoyc@j4d0jmu3mo.loan,spam,3.9477,2.9219,0.2778,0,18,10,0,1,0,0,18,18
alejandra_shah@example.co.jp,normal,3.0931,2.5216,0.0,0,14,7,1,0,0,1,14,14
gabrielamueller@example.com,normal,3.0062,2.5216,0.0,0,15,7,1,0,0,0,15,15
ashley_schulz@example.net,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,1,13,13
tbgm55ff1bl08kg@8a1ar.info,spam,3.3736,1.9219,0.3333,0,15,5,0,1,0,0,15,15
priyaverma@example.fr,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,0,10,10
bm2qsq0p82kb700u@wuux.win,spam,3.3278,1.5,0.4375,0,16,4,0,1,0,0,16,16
aisha.kozlov@example.de,normal,3.2516,2.5216,0.0,0,12,7,1,0,1,0,5,6
rahul_de_boer@example.com,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,1,13,13
magnussousa@example.co.za,normal,2.6635,2.5216,0.0,0,11,7,1,0,0,0,11,11
ingridcolombo@example.it,normal,3.1808,2.5216,0.0,0,13,7,1,0,0,0,13,13
tunde_de_vries1989@test.com,normal,3.5724,1.5,0.2222,0,18,4,1,0,0,1,18,18
anne_sanchez@example.es,normal,2.8554,2.5216,0.0,0,12,7,1,0,0,1,12,12
roberto.gitau@example.ru,normal,3.2389,2.5216,0.0,0,13,7,1,0,1,0,5,7
xjz6u@z1ro03ci.work,spam,2.3219,3.0,0.2,0,5,8,0,1,0,0,5,5
lh13c71ud2zdlx@qii4w6ozx2.loan,spam,3.3788,3.1219,0.3571,0,14,10,0,1,0,0,14,14
yuki_schulz1983@example.pl,normal,3.7736,2.5216,0.2667,0,15,7,1,0,0,1,15,15
natasha.fouad1992@example.co.za,normal,3.4992,2.5216,0.2353,0,17,7,1,0,1,0,7,9
olga.rodriguez@test.com,normal,3.3788,1.5,0.0,0,14,4,1,0,1,0,4,9
kavita_hussein1987@example.com.br,normal,3.8366,2.5216,0.2222,0,18,7,1,0,0,1,18,18
omar_de_boer1985@test.com,normal,3.5,1.5,0.25,0,16,4,1,0,0,1,16,16
kofihoffmann@example.co.uk,normal,2.8554,2.5216,0.0,0,12,7,1,0,0,0,12,12
zbcgjc36oqol@ytxw1vz.xyz,spam,3.2516,2.8074,0.1667,0,12,7,0,1,0,0,12,12
dewi_simon@example.es,normal,3.1219,2.5216,0.0,0,10,7,1,0,0,1,10,10
nour.perez@example.de,normal,2.9219,2.5216,0.0,0,10,7,1,0,1,0,4,5
ingrid_eze@example.it,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,1,10,10
gabriela.coulibaly@example.com.au,normal,3.4194,2.5216,0.0,0,18,7,1,0,1,0,8,9
qg433e1i1p0bq@dxho87f00t.xyz,spam,3.2389,3.1219,0.4615,0,13,10,0,1,0,0,13,13
alejandra.de_jong@example.co.jp,normal,3.3372,2.5216,0.0,0,17,7,1,0,1,1,7,9
elena.smirnov@example.de,normal,3.3927,2.5216,0.0,0,13,7,1,0,1,0,5,7
giuseppeivanov1999@example.fr,normal,3.4613,2.5216,0.2222,0,18,7,1,0,0,0,18,18
ali_ferreira@example.net,normal,2.6887,2.5216,0.0,0,12,7,1,0,0,1,12,12
kipchogemartins@example.it,normal,3.7736,2.5216,0.0,0,15,7,1,0,0,0,15,15
wojciech_coulibaly@example.com.br,normal,3.5724,2.5216,0.0,0,18,7,1,0,0,1,18,18
mwangi.otieno@example.org,normal,3.2389,2.5216,0.0,0,13,7,1,0,1,0,6,6
wojciech.wisniewski@example.co.uk,normal,3.2608,2.5216,0.0,0,19,7,1,0,1,0,8,10
chiaratorres@example.co.jp,normal,3.0221,2.5216,0.0,0,12,7,1,0,0,0,12,12
andreaswojcik1995@example.ru,normal,3.8522,2.5216,0.2353,0,17,7,1,0,0,0,17,17
jj2jvqyiy1sy9laaco@dqhkgad7.top,spam,3.5305,2.75,0.1667,0,18,8,0,1,0,0,18,18
lars.asante@example.com.au,normal,2.8454,2.5216,0.0,0,11,7,1,0,1,0,4,6
wanjiru_de_boer@example.de,normal,3.5069,2.5216,0.0,0,15,7,1,0,0,1,15,15
jing.colombo@example.ru,normal,3.1887,2.5216,0.0,0,12,7,1,0,1,0,4,7
nzrf@pk2nlt8dtm.work,spam,2.0,3.1219,0.0,0,4,10,0,1,0,0,4,4
anastasia.nasser@example.net,normal,2.6494,2.5216,0.0,0,16,7,1,0,1,0,6,9
abenaferreira@example.es,normal,2.6032,2.5216,0.0,0,13,7,1,0,0,0,13,13
nikolairobert@example.fr,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,0,13,13
james_pereira@example.com.br,normal,3.027,2.5216,0.0,0,13,7,1,0,0,1,13,13
carmen.ivanov1982@example.net,normal,3.7345,2.5216,0.2353,0,17,7,1,0,1,0,6,10
aisha.morales@example.org,normal,3.1808,2.5216,0.0,0,13,7,1,0,1,0,5,7
marcokarim1992@example.de,normal,3.2359,2.5216,0.2857,0,14,7,1,0,0,0,14,14
monika_nwosu@example.co.za,normal,3.2516,2.5216,0.0,0,12,7,1,0,0,1,12,12
tunde.jesus1997@example.fr,normal,3.3736,2.5216,0.2667,0,15,7,1,0,1,0,5,9
7dVkEa05GmWFRMPw@af92movs0.xyz,spam,4.0,3.1699,0.1875,0,16,9,0,1,0,0,16,16
mikhail_ndungu@example.ru,normal,3.3788,2.5216,0.0,0,14,7,1,0,0,1,14,14
priya_nasser@example.co.za,normal,3.085,2.5216,0.0,0,12,7,1,0,0,1,12,12
QuDBWEg@v44ftj5cc.biz,spam,2.8074,2.7255,0.0,0,7,9,0,1,0,0,7,7
boris.lindqvist@example.com.au,normal,3.4566,2.5216,0.0,0,15,7,1,0,1,0,5,9
mq8ab@vs9kkh.loan,spam,2.3219,2.2516,0.2,0,5,6,0,1,0,0,5,5
zainab.johnson@example.com.au,normal,3.182,2.5216,0.0,0,14,7,1,0,1,0,6,7
danielanowak@example.com,normal,3.0221,2.5216,0.0,0,12,7,1,0,0,0,12,12
thomaschavez@example.pl,normal,3.2516,2.5216,0.0,0,12,7,1,0,0,0,12,12
ingriddurand@example.ru,normal,2.6887,2.5216,0.0,0,12,7,1,0,0,0,12,12
rafaelnovikov@example.it,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,0,13,13
erik.kuznetsov@example.de,normal,3.5216,2.5216,0.0,0,14,7,1,0,1,0,4,9
kamau_yilmaz@example.it,normal,3.0221,2.5216,0.0,0,12,7,1,0,0,1,12,12
beatrizfischer@example.de,normal,3.3788,2.5216,0.0,0,14,7,1,0,0,0,14,14
floor.eze@example.ru,normal,2.7255,2.5216,0.0,0,9,7,1,0,1,0,3,5
lucakusuma@example.net,normal,2.6464,2.5216,0.0,0,10,7,1,0,0,0,10,10
ayse_jimenez1988@test.com,normal,3.5778,1.5,0.25,0,16,4,1,0,0,1,16,16
baptistenguyen1999@example.es,normal,3.5724,2.5216,0.2222,0,18,7,1,0,0,0,18,18
ngozi.demir@example.com.br,normal,3.2776,2.5216,0.0,0,11,7,1,0,1,0,5,5
thomaswilson@example.net,normal,3.2516,2.5216,0.0,0,12,7,1,0,0,0,12,12
miguel.moreau@example.fr,normal,3.2389,2.5216,0.0,0,13,7,1,0,1,0,6,6
ingrid_tanaka@example.com.au,normal,3.027,2.5216,0.0,0,13,7,1,0,0,1,13,13
joaokozlov@example.org,normal,2.5219,2.5216,0.0,0,10,7,1,0,0,0,10,10
chidi_lopez@example.org,normal,3.2776,2.5216,0.0,0,11,7,1,0,0,1,11,11
